district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent
calicut,Kuthiravattom,₹1.5 Cr,15000000,"6,534 sqft",6534,,2295.684114,15,1000000
calicut,Koyilandy,₹2.88 Cr,28800000,"10,454 sqft",10454,,2754.926344,23.99908173,1200045.915
calicut,Mavoor,₹1.4 Lac,140000,"23,958 sqft",23958,,5.843559563,55,2545.454545
ernakulam,Koonammavu,₹60.5 Lac,6050000,"1,916 sqft",1916,,3157.620042,4.398530762,1375459.29
ernakulam,Panampilly Nagar,₹4.4 Cr,44000000,"5,597 sqft",5597,,7861.354297,12.84894399,3424405.932
ernakulam,Panorama Nagar,₹1.55 Cr,15500000,"3,136 sqft",3136,,4942.602041,7.199265381,2152997.449
ernakulam,Vypin,₹6 Cr,60000000,"87,120 sqft",87120,,688.7052342,200,300000
ernakulam,Tripunithura,₹1 Cr,10000000,"4,356 sqft",4356,,2295.684114,10,1000000
ernakulam,Cheranalloor,₹28.5 Lac,2850000,"1,393 sqft",1393,,2045.944006,3.197887971,891213.2089
ernakulam,Chittethukara,₹1.2 Cr,12000000,"2,665 sqft",2665,,4502.814259,6.117998163,1961425.891
ernakulam,Nedumbassery,₹27.5 Lac,2750000,"2,178 sqft",2178,,1262.626263,5,550000
ernakulam,Cheranalloor,₹25 Cr,250000000,"61,985 sqft",61985,,4033.233847,142.2979798,1756876.664
ernakulam,Vyttila,₹1.08 Cr,10800000,"2,000 sqft",2000,,5400,4.591368228,2352240
